code,Product,Price
,<b>LCD Screens</b>
-,Direction L5AK6 15" LCD 1280x768@75,450,cart
-,MAG HD572 15" TFT LCD Monitor Built in Speakers 1025x768@75Hz,480,cart
-,Direction L7AK2 17" LCD 1280x1024@75,606,cart
-,MAG LT765 17" LCD Monitor 1280x1024@75Hz,670,cart
-,MAG HD772 17" LCD Monitor Built in Sound. 1280x1024@75Hz,640,cart
-,MAG LT965 370mm x 312mm TFT LCD Monitor 1280x1027@85Hz,1020,cart

,<b>Normal CRT Monitors</b>
-,Viewsonic e70 17" monitor,197,cart
-,MAG 786pf Black 17" Monitor 1600x1200@68Hz,190,cart
-,MAG 986FS (Black) 19" Flat Monitor 1600x1200@68Hz,281,cart
-,MAG 986PF Beige 19" PureFlat Monitor 1600x1200@76Hz,310,cart


-,<b>Misc Multimedia</b>

-,Swan Versa Web Cam USB,50,cart

-,Altec Lansing AVS200 Powered (2x)Speakers,44,cart
-,Altec Lansing AVS300 Powered (2x)Speakers (1x)Woofer,66,cart
-,Altec Lansing ATP Powered (2x)Speakers (1x)Sub Woofer,105,cart
-,More Altec Lansing Speakers are available - <a href="mailto:sales@cybernexus.biz?subject=AltecLansing">Contact us</a> for more information
