Code,Details,Price
&nbsp,PIONEER DVR-A06 DVD-R/RW Retail PACK W/SOFTWARE,295,cart
&nbsp,PIONEER DVR-A06 DVD-R/RW oem PACK W/SOFTWARE,240,cart
-,Samsung 52x 24x 52x CDRW OEM Pack,65,cart
-,Samsung 52x 24x 52x CDRW Retail Pack 8m buffer,71.50,cart

-,Pioneer 120 Tray load DVD ROM UATA133 16x,66,cart
&nbsp,Pioneer 120S Slot load DVD ROM 16x,77,cart
-,Samsung 52x CDROM,35,cart

&nbsp,samsung floppy drive 1.44mb (1.7max),16.50,cart

&nbsp,80 (84 overburn) Minute 48xWrite CDs,0.66,cart

&nbsp,VMAX USB Flash Drive 128MB, 77,cart
&nbsp,VMAX USB Flash Drive 256MB,135,cart
&nbsp,VMAX USB Flash Drive 512MB,200,cart

-,Umax rl101 usb 1.1 flash drive mp3 player lcd display 128mb,136,cart
-,Umax mp-101 usb 1.1 flash drive mp3 player li-ion battery 128mb,136,cart

-,Hitachi 60gig 7200rpm ata133,99,cart
-,Hitachi 80g 7200rpm ata133,130,cart

&nbsp,40 Gig Seagate 7200RPM UATA133,95,cart
&nbsp,80 Gig Seagate 7200RPM UATA133,120,cart
&nbsp,120 Gig Seagate 7200RPM UATA133,185,cart
&nbsp,160 Gig Seagate 7200RPM UATA133,258,cart

&nbsp,40 Gig Maxtor 7200RPM UATA133,99,cart
&nbsp,80 Gig Maxtor 7200RPM UATA133,125,cart
&nbsp,120 Gig Maxtor 7200RPM UATA133,186,cart
&nbsp,160 Gig Maxtor 7200RPM UATA133,259,cart

&nbsp,80 Gig Maxtor 7200RPM SerialATA150,186,cart
&nbsp,120 Gig Maxtor 7200RPM SerialATA150,215,cart
&nbsp,160 Gig Maxtor 7200RPM SerialATA150,300,cart
&nbsp,200 Gig Maxtor 7200RPM SATA 150,375,cart





