Code, Product, Price

NB-DAI-VC2400D, Intel® Celeron® 4 2.4GHZ<br> 15inch TFT XGA   256MB DDR <br> 40 GB ATA 100 Hard Drive <br> CDRW / DVDROM  FDD<br> USB2  FireWire  Serial & Printer Ports <br> 32MB Shared ATI Radeon   16 Sound  <br> Modem & 10/100 lan <br> Web Camera Built in <br> No Operating system included,1929.95,cart

NB-DAI-VC4026D,	Intel® Pentium® 4 2.6GHZ <br> 15inch TFT XGA   256MB DDR <br> 40 GB ATA 100 Hard Drive <br> CDRW / DVDROM  FDD <br> USB2  FireWire  Serial & Printer Ports <br> 32MB Shared ATI Radeon   16 Sound  <br> Modem & 10/100 lan <br> Web Camera Built in <br> No Operating system included,2117.50,cart

NB-DAITRON-Y,NOTEBOOK-15TFT CDRW/COMBO 3 YEAR L WARRA,1445.95,cart

NB-DAITRONIC-15,Bare Bones Note Book <br> 15inch TFT XGA  2 X DDR Slots  <br> CDRW / DVDROM  FDD  USB2  FireWire <br> 32MB shared ATI Radeon   16 Sound  <br> Modem & 10/100 lan <br> Web Camera Built in <br> Just add CPU  Memory & HDD,1445.95,cart

NB-NEC-E680-1.4,Processor: Intel® Pentium® M 1.4GHz <br> 14.1inch TFT XGA <br> 256mb DDR <br> 40GB ATA HDD <br> CDRW/DVD Combo<br> Intel Extreme Graphics <br> USB2.0  FireWire  3d Sound  <br> Modem & 10/100 lan  <br> 802.11b Wireless lan <br> MS Windows XP Professional,3018.95,cart

NB-NEC-E680-1.6,Processor: Intel® Pentium® M 1.6GHz <br> 15inch TFT XGA <br> 256mb DDR <br> 40GB ATA HDD <br> DVD-RW DVD writer  <br> Intel Extreme Graphics <br> USB2.0  FireWire  3d Sound  <br> Modem & 10/100 lan  <br> 802.11b Wireless lan <br> MS Windows XP Professional,$3260.95,cart

NB-NEC-M400-2.3,Processor: Intel® Pentium® 4 mobile 2.3GHz <br> 15 inch TFT XGA <br> Intel Extreme Graphics <br> 256mb DDR <br> 30GB HDD <br> CDRW/DVD  <br> 10/100 lan  Modem <br> USB 2 Firewire <br> MS Windows XP Professional,2112.66,cart

NB-NEC-M400-2.6,Processor: Intel® Pentium® 4 mobile 2.3GHz <br> 15 inch TFT XGA <br> Intel Extreme Graphics <br> 256mb DDR <br> 40GB HDD <br> CDRW/DVD  <br> 10/100 lan  Modem <br> 802.11b Wireless lan <br> USB 2 Firewire <br> MS Windows XP Professional,2353.45,cart

NB-NEC-M400-26C,NEC N/BOOK 2.6C-15'-256MB 30/COMBO/XPh- NN36000759,2050.95,cart

NB-NEC-M400-26D,NEC N/BOOK 2.6C-15'-256MB 30/COMBO/XPP- NN37000459,2171.95,cart

NB-NEC-P520-1.4,Processor: Intel® Pentium® M 1.4GHz <br> 15 inch TFT XGA <br> 256mb DDR <br> 40GB ATA HDD <br> DVD-RW DVD writer <br> Intel 855GM Graphics <br> USB2.0  FireWire  3d Sound  serial <br> Modem & 10/100 lan  <br> 802.11b Wireless lan<br> MS Windows XP Professional,3423.09,cart

NB-NEC-P520-1.6,Processor: Intel® Pentium® M 1.6GHz <br> 15 inch TFT XGA <br> 512mb DDR <br> 60GB ATA HDD <br> DVD-RW  DVD writer  <br> Intel 855GM Graphics <br> USB2.0  FireWire  3d Sound  serial <br> Modem & 10/100 lan  <br> 802.11b Wireless lan<br> MS Windows XP Professional,4329.38,cart

NB-NEC-P600-1.5,Processor: Intel® Pentium® M 1.5GHz<br> 14.1 inch TFT XGA <br> 256mb DDR <br> 40GB ATA HDD <br> CDRW/DVD Combo <br> Intel Extreme Graphics <br> USB2.0  FireWire  3d Sound <br> Modem & 10/100 lan <br> 802.11b Wireless lan <br> MS Windows XP Professional,3212.55,cart

NB-NEC-S900-1.5,Processor: Intel® Pentium® M 1.5GHz <br> 12 inch TFT XGA <br> 256mb DDR <br> 60GB ATA HDD <br> DVDRW  DVD Writer <br> Intel Extreme Graphics <br> USB2.0  FireWire  3d Sound  <br> Modem & 10/100 lan  <br> 802.11b Wireless lan <br> MS Windows XP Professional,4107.95,cart
