Code,Product,Price
DWL-120+,AirPlus 22Mbps Wireless LAN USB Adapter,90.00,cart
DWL-122,Air 11Mbps Wirless LAN USB key,79,cart
DWL-520+,Dlink AirPlus 22Mbps Wireless PCI Adapter,99.00,cart
DWL-650+,Dlink AirPlus 22Mbps Wireless PCMCIA card,65.00,cart

DWL-AG520,AirXpert 11/54Mbps Tri-Mode Dualband W'less LAN PCI Adapter,170.00,cart
DWL-AG650,AirXpert 11/54Mbps Tri-Mode Dualband WirelessLAN PCMCIA Card,140.00,cart
DWL-G520,Dlink AirPlus XtremeGTM PCI 11/54Mbps Wireless LAN card,140.00,cart
DWL-G520+,11/22/54Mbps W'less LAN PCI Adapter,88.00,cart
DWL-G650,Dlink AirPlus XtremeGTM 11/54Mbps Wireless LAN PCMCIA card,130.00,cart
DWL-G650+,11 / 22 / 54Mbps Wireless LAN PCMCIA Card,88.00,cart

DWL-810+,ETHERNET TO WIRELESS LAN CLIENT ADAPTER 22MBPS,130.00,cart

DI-614+,Dlink Air+ 22Mbps Wless IP+Router-ADSL  4 PORT SWITCH,199.00,cart
DI-624,AirPlusExtremeG High-Speed 2.4GHz WirelessRouter+4PortSwitch,299.00,cart
DI-624+,11/22/54Mbps W'less IP Router with 4 port 10/100Mbps Switch,199.00,cart

DI-714P+,DLink AirPlus 22Mbps Wireless Router w/4-port Swch & Prt Srv,199.00,cart
DI-724P+,11/54Mbps W'less IP Router w/4 Port switch & Print server,280.00,cart
DI-764,AirPro11/22/54Mbps Dualband Wireless IP Router W/4-Port,399,cart

DSA-3100,Dlink Wireless Service Gateway,1100.00,cart
DWL-P100,Dlink 11Mbps Wireless LAN Power Over Ethernet Kit,110.00,cart
DVC-1000,DLink i2eye Broadband Video Phone,440,cart

DWL-1000AP+,Dlink Air 22Mbps Wireless LAN Access Point/ Bridge,440.00,cart
DWL-1700AP,Air Premier 11Mbps Wireless LAN Outdoor AP,1650.00,cart
DWL-1750,AirPremier 11Mbps Wireless LAN Outdoor Router Bridge,1650.00,cart
DWL-2000AP,Dlink AirPlus Xtreme 11/54Mbps Wireless LAN Access Point,260.00,cart
DWL-2000AP+,11/22/54Mbps Wireless LAN Access Point 802.11g,199.00,cart
DWL-7000AP,AirXpert 11/54Mbps Tri-Mode Dualband W'less LAN Acces Point,499.00,cart
DWL-900AP+,Dlink Airplus 22Mbps Wireless Access Point,180.00,cart
DWL-905+,Dlink AirPlus 22Mbps Wireless LAN Starter Kit w/AP & PCMCIA,299.00,cart

DWL-50AT,Dlink 11Mbps Wireless LAN 5dBi Antenna,35.00,cart
DWL-M60AT,D-Link Air Indoor 6dBi Gain Directional Patch Antenna 0.5KM,115.00,cart
ANT24-0401,DLink Air Indoor 4dBi Ceiling Antenna w/ 360 deg. horizontal,199,cart
ANT24-0500,Dlink Air Indoor/Outdoor 5dBi Gain Omni Dir. Antenna,199.00,cart
ANT24-0800,Dlink Air Outdoor 8dBi Gain Omni-Directional Antenna,290.00,cart
ANT24-0801,Dlink AIR Indoor 8iSdBi Gain Picocell Patch Antenna,290.00,cart
ANT24-1200,Dlink Air Indoor 11.5dBi High Gain Directional Panel Antenna,245.00,cart
ANT24-1400,Dlink Air Outdoor 14dBi High Gain Directional Panel Antenna,350.00,cart
ANT24-1500,Outdoor 15dBi Gain Omni-Directional Antenna,380.00,cart
ANT24-1801,Dlink Air Outdoor 18dBi High Gain Directional Yagi Antenna.,400.00,cart
ANT24-2100,Outdoor 21dBi Gain Directional Grid Antenna,499.00,cart

ANT24-CB03N,Dlink 3m Extension Cable,68.00,cart
ANT24-CB06N,Dlink 6M Extension Cable,87.00,cart
ANT24-CB09N,Dlink 9M Extension Cable With N-Male To N-Female.,103.00,cart
ANT24-JC,DLink RP-SMA to MMCX-Plug Jumper Cable (DWL-660 to DWL-M60AT,19.00,cart
DA-10A,Dlink Dongle for DM-560.,25.00,CALL,CALL,10%,45.00,cart
DWL-R60AT,D-Link Air Indoor 6dBi Gain Patch Antenna  0.5KM range,58.00,cart 
